"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"62","LQH","2.5","fc.LQH_rm.2.5",0.938718835616438,0.978,0.0247011010954694,0.0157741541340161,0.934301738095238,0.0272191662933833,0.7452,0.132973514488997,0.108095238095238,0.0774710505184378,0.0133333333333333,0.0281091347570523,3500.43099958984,57.4492515486668,3.34996783652079e-13,34
"63","LQP","2.5","fc.LQP_rm.2.5",0.910909246575342,0.978,0.0215700439096527,0.019161334921541,0.91447230952381,0.027478242091444,0.8643,0.0836501311681246,0.108095238095238,0.0634543538809988,0.00666666666666667,0.0210818510677892,3613.81490916184,170.833161120667,8.01747298923462e-38,10
"64","LQHP","2.5","fc.LQHP_rm.2.5",0.938840753424658,0.966,0.0248171461865107,0.0154459074694156,0.934753928571429,0.02731363983763,0.748,0.143444917806259,0.108095238095238,0.0774710505184378,0.0133333333333333,0.0281091347570523,3537.64790230601,94.6661542648426,2.77646942789706e-21,44
"65","LQHPT","2.5","fc.LQHPT_rm.2.5",0.943237328767123,0.941,0.0268537510905125,0.015535894017475,0.935319928571429,0.0282196396715187,0.6496,0.233261512756248,0.115238095238095,0.0770062151261339,0.02,0.0322030594359765,3484.317528226,41.3357801848247,1.05690629878767e-09,36
"66","L","3","fc.L_rm.3",0.794192808219178,0.819,0.0220976478222795,0.0126182981685006,0.792234404761905,0.0238616346174546,0.7183,0.111559700011548,0.101428571428571,0.0713067744653766,0.00666666666666667,0.0210818510677892,3918.19196969515,475.210221653983,6.44760764693404e-104,5
"67","Q","3","fc.Q_rm.3",0.785615410958904,0.878,0.0197381486319025,0.01105004784037,0.784155595238095,0.021493521977326,0.7591,0.105349629541088,0.101904761904762,0.0710643270139674,0.00666666666666667,0.0210818510677892,3920.02288526379,477.041137222613,2.58119216131474e-104,5
"68","H","3","fc.H_rm.3",0.937956506849315,0.953,0.0248281873533591,0.016054793922495,0.933502523809524,0.027571375211086,0.7331,0.141594452182594,0.101428571428571,0.0713067744653766,0.0133333333333333,0.0281091347570523,3507.87184439363,64.8900963524557,8.11487282173801e-15,35
"69","P","3","fc.P_rm.3",0.865537328767123,0.969,0.0240137666385777,0.024000632172064,0.864783404761905,0.0317070476332178,0.8817,0.0547175576128094,0.101428571428571,0.0640078258001975,0.00666666666666667,0.0210818510677892,3748.83682207248,305.85507403131,3.84062273916586e-67,6
"70","LQ","3","fc.LQ_rm.3",0.898512671232877,0.967,0.0234034318016589,0.0218496068399199,0.899083976190476,0.0299740123499067,0.8698,0.0891363499863489,0.108095238095238,0.070810375987158,0,0,3642.99878996786,200.017041926688,3.68840250396098e-44,7
"71","LP","3","fc.LP_rm.3",0.866650342465753,0.978,0.0238641701447407,0.0234989446407127,0.86551469047619,0.0311618233454943,0.8757,0.0617810650604212,0.101428571428571,0.0640078258001975,0.00666666666666667,0.0210818510677892,3743.20514258989,300.223394548718,6.41660507559468e-66,7
"72","QH","3","fc.QH_rm.3",0.938193493150685,0.954,0.0245085710898516,0.016146266687147,0.933953642857143,0.0273104324579212,0.7744,0.107695249044081,0.101428571428571,0.0713067744653766,0.0133333333333333,0.0281091347570523,3515.05471974779,72.072971706622,2.23635195053745e-16,37
"73","QP","3","fc.QP_rm.3",0.890431164383562,0.966,0.0235430565496844,0.0197613475892929,0.887722119047619,0.0291266919514021,0.8821,0.0679026263605957,0.108571428571429,0.0642729754182161,0.00666666666666667,0.0210818510677892,3697.90792436389,254.92617632272,4.40018839243394e-56,9
"74","HP","3","fc.HP_rm.3",0.937629794520548,0.954,0.0252289649796768,0.0156009988281773,0.933575214285714,0.0277018655924055,0.7642,0.118493131540281,0.101428571428571,0.0713067744653766,0.0133333333333333,0.0281091347570523,3503.10592387135,60.1241758301776,8.79403540675844e-14,33
"75","LQH","3","fc.LQH_rm.3",0.937670890410959,0.964,0.0248181351822478,0.0160538347530292,0.933522452380952,0.0275077201197879,0.7522,0.12832580064473,0.108095238095238,0.0774710505184378,0.0133333333333333,0.0281091347570523,3521.93804008477,78.9562920436001,7.15889731090814e-18,38
"76","LQP","3","fc.LQP_rm.3",0.909507876712329,0.977,0.0216215530633489,0.0200603317465501,0.907364119047619,0.0267803102358274,0.8565,0.0821465492613996,0.115238095238095,0.0628859962636921,0.0133333333333333,0.0281091347570523,3620.12049105248,177.138743011306,3.42608233248349e-39,10
"77","LQHP","3","fc.LQHP_rm.3",0.938128424657534,0.964,0.0248091035243383,0.0155697087565742,0.934229404761905,0.0273232697343342,0.764,0.131940222154664,0.101428571428571,0.0713067744653766,0.0133333333333333,0.0281091347570523,3492.84718397773,49.8654359365573,1.4854063405413e-11,30
"78","LQHPT","3","fc.LQHPT_rm.3",0.94174897260274,0.943,0.0268494247794191,0.0156346478133033,0.934655642857143,0.0284372019310364,0.6752,0.215785284226911,0.115238095238095,0.0770062151261339,0.02,0.0322030594359765,3464.47525745671,21.4935094155394,2.15144792156573e-05,27
"79","L","3.5","fc.L_rm.3.5",0.795110616438356,0.821,0.022156347576088,0.0124591537445614,0.793106357142857,0.0238768797711209,0.7249,0.096310204836017,0.101428571428571,0.0713067744653766,0.00666666666666667,0.0210818510677892,3918.55773254522,475.575984504047,5.36999903876902e-104,5
"80","Q","3.5","fc.Q_rm.3.5",0.785302397260274,0.881,0.0196397705958164,0.0110641396467847,0.783871976190476,0.0214590137395301,0.7554,0.106754338969847,0.101904761904762,0.0710643270139674,0.00666666666666667,0.0210818510677892,3920.55848279398,477.576734752804,1.97477132164825e-104,5
"81","H","3.5","fc.H_rm.3.5",0.936825684931507,0.959,0.0248369738359605,0.016284207295035,0.932464119047619,0.0278069306389651,0.7415,0.118817553884563,0.101428571428571,0.0713067744653766,0.02,0.0322030594359765,3507.83397559023,64.8522275490554,8.26998694590193e-15,33
"82","P","3.5","fc.P_rm.3.5",0.86441404109589,0.964,0.0240235236856019,0.0241398808665376,0.86366230952381,0.0318085588141436,0.8866,0.0490831494054279,0.101428571428571,0.0640078258001975,0.00666666666666667,0.0210818510677892,3754.88577129458,311.904023253403,1.86590279257454e-68,6
"83","LQ","3.5","fc.LQ_rm.3.5",0.894955821917808,0.97,0.0223849519926638,0.0220655628359525,0.893533785714286,0.0289388734186364,0.861,0.0957844803016995,0.0942857142857143,0.0779169470813584,0,0,3664.70813963368,221.726391592504,7.12381980206759e-49,8
"84","LP","3.5","fc.LP_rm.3.5",0.865448287671233,0.978,0.0237518179587588,0.0234585557745305,0.86432669047619,0.0310294481434053,0.8799,0.0703995738623466,0.101428571428571,0.0640078258001975,0.00666666666666667,0.0210818510677892,3749.58908143598,306.607333394807,2.63663858697266e-67,7
"85","QH","3.5","fc.QH_rm.3.5",0.937216095890411,0.963,0.0245339543719639,0.0163997648511125,0.933084833333333,0.027569652121781,0.7539,0.117875122245724,0.101428571428571,0.0713067744653766,0.0133333333333333,0.0281091347570523,3500.64867424135,57.666926200176,3.0045067727691e-13,31
"86","QP","3.5","fc.QP_rm.3.5",0.882384589041096,0.972,0.0237037839711179,0.0206841283774089,0.88062769047619,0.0299420000420167,0.8826,0.0599892582977245,0.108571428571429,0.0642729754182161,0.00666666666666667,0.0210818510677892,3723.40167200528,280.419923964107,1.28107427175554e-61,9
"87","HP","3.5","fc.HP_rm.3.5",0.936816438356164,0.952,0.0252928500462642,0.0157631719207846,0.932841833333333,0.0278877614415687,0.7452,0.13072345704663,0.101428571428571,0.0713067744653766,0.02,0.0322030594359765,3499.33538242347,56.3536343822939,5.79363167896724e-13,30
"88","LQH","3.5","fc.LQH_rm.3.5",0.936705821917808,0.967,0.0248018512689601,0.0162894588334233,0.932574738095238,0.0276890177882446,0.7725,0.108386397260501,0.101428571428571,0.0713067744653766,0.0133333333333333,0.0281091347570523,3507.64807502077,64.6663269795945,9.07554302001084e-15,32
"89","LQP","3.5","fc.LQP_rm.3.5",0.898918835616438,0.98,0.0220579012838307,0.0211154065387847,0.902264785714286,0.0292076956013957,0.8738,0.0593273405213257,0.115238095238095,0.0628859962636921,0.00666666666666667,0.0210818510677892,3667.11616096763,224.134412926455,2.13706502414365e-49,12
"90","LQHP","3.5","fc.LQHP_rm.3.5",0.937493493150685,0.954,0.0247208800188361,0.0158584192103907,0.933503976190476,0.0274517971303279,0.7653,0.113029052312521,0.101428571428571,0.0713067744653766,0.0133333333333333,0.0281091347570523,3492.39828314103,49.4165350998601,1.85918604767129e-11,28
"91","LQHPT","3.5","fc.LQHPT_rm.3.5",0.940616780821918,0.952,0.026891568322263,0.015987333289471,0.933816214285714,0.0286713005400738,0.6714,0.220680865605617,0.115238095238095,0.0770062151261339,0.02,0.0322030594359765,3487.98573897076,45.0039909295906,1.68847503480835e-10,32
"92","L","4","fc.L_rm.4",0.795982534246575,0.824,0.0222016886999769,0.0124834125406065,0.794038023809524,0.0239702125206439,0.7315,0.0941561941079231,0.101428571428571,0.0713067744653766,0.00666666666666667,0.0210818510677892,3918.94173740039,475.959989359216,4.43188633169769e-104,5
"93","Q","4","fc.Q_rm.4",0.784933904109589,0.867,0.0196589449621625,0.0111053169664561,0.783483928571429,0.0215111338645057,0.7494,0.111070748224324,0.101904761904762,0.0710643270139674,0.00666666666666667,0.0210818510677892,3921.14732315178,478.165575110605,1.47113237333474e-104,5
